OrderID,OrderDate,CustomerID,Country,Region,Product,Quantity,UnitPrice,Discount,ShippingMode,Category,Sales,Profit
10063,2022-10-23,1072,Canada,West,Printer,2,556,0.03,Express,Office,1112,372.05116859599957
10498,2024-11-01,1063,Mexico,Central,Tablet,2,1851,0.33,EXPRESS,Electronics,3702,122.41169069176499
10314,2024-05-16,1005,Japan,Central,Headphones,5,491,0.06,Same Day,Accessories,2455,413.7557878619871
10109,2024-03-05,1025,Germany,North,Laptop,6,120,0.12,Same Day,Electronics,720,109.34999774596689
10762,2022-11-14,1177,Germany,North,Printer,4,1504,0.22,Standard,Office,6016,873.0370225694319
10271,2022-09-03,1183,Canada,North,laptop,8,199,0.33,Standard,Accessories,1592,185.17989491538015
10513,2022-02-10,1135,Brazil,South,Mobile,8,159,,Standard,Electronics,1272,79.54708811331687
10192,2023-03-29,1119,France,East,Camera,5,167,0.11,Same Day,Electronics,835,41.8835415558589
10739,2023-06-16,1036,Mexico,North,laptop,3,917,0.38,standard,Office,2751,-638.9478954420215
10912,2022-10-12,1195,USA,East,Monitor,9,1236,0.3,EXPRESS,Electronics,11124,1755.3064789732161
10232,2024-03-08,1053,Brazil,Central,Smartwatch,3,1859,0.05,EXPRESS,Electronics,5577,1607.2478448385696
10450,2023-05-07,1188,USA,North,Smartwatch,6,862,0.34,EXPRESS,Electronics,5172,-343.1375265801412
10687,2023-06-21,1088,,East,Smartwatch,6,592,0.2,EXPRESS,Electronics,3552,871.8439339741456
10856,2024-11-18,1048,Brazil,South,laptop,2,716,0.05,Same Day,Electronics,1432,514.0120834826521
10697,2023-09-15,1150,Brazil,West,Headphones,7,791,0.13,standard,Accessories,5537,1256.1434018407326
10771,2024-03-08,1051,UK,South,Mouse,4,1463,0.14,EXPRESS,Accessories,5852,-2.9475536101957687
10654,2024-11-15,1185,Australia,South,Keyboard,5,1611,0.04,Same Day,Accessories,8055,944.9161123579986
10292,2022-02-20,1145,Brazil,Central,Headphones,4,162,0.33,standard,Accessories,648,14.697814783640098
10914,2022-10-13,1051,Australia,North,Mouse,3,1430,0.08,Standard,Accessories,4290,667.9917934246957
10064,2023-12-21,1039,Mexico,North,Monitor,5,120,0.24,standard,Electronics,600,42.37561593742828
10915,2024-11-08,1026,,North,Mobile,6,1469,0.23,standard,Electronics,8814,-971.6778236420002
10500,2024-02-23,1020,Germany,East,Laptop,7,1879,0.08,standard,Electronics,13153,2570.8547377750547
10722,2022-03-16,1106,Mexico,West,Printer,2,1729,0.14,Express,Office,3458,634.1501568439096
10477,2023-01-22,1059,UK,West,Mouse,9,421,0.29,Express,Accessories,3789,311.3202655603468
10376,2024-08-14,1036,Germany,North,Headphones,2,231,0.27,Express,Accessories,462,59.58210596466296
10835,2024-03-25,1081,Japan,North,Smartwatch,9,413,0.38,standard,Electronics,3717,-678.781565940822
10330,2023-09-26,1099,Australia,South,Tablet,4,653,0.12,standard,Electronics,2612,122.35277206182269
10171,2024-08-12,1122,Germany,East,Camera,3,321,0.26,Express,Electronics,963,-36.156159464897655
10280,2022-02-05,1008,UK,North,Monitor,3,1062,0.3,EXPRESS,Electronics,3186,80.09845493060789
10467,2022-02-08,1026,USA,West,Camera,9,706,0.16,Express,Electronics,6354,2017.1833411454522
10962,2022-03-23,1117,USA,North,Smartwatch,2,1572,0.22,Same Day,Electronics,3144,410.47352256996726
10083,2022-10-16,1043,,Central,Smartwatch,2,1361,0.16,Express,Electronics,2722,576.3423926429728
10857,2024-02-18,1034,Germany,West,Smartwatch,1,1617,0.39,EXPRESS,Electronics,1617,-161.33542850079232
10986,2023-06-05,1088,Mexico,East,Mouse,7,1880,0.22,Express,Accessories,13160,1658.3772840358988
10524,2024-06-01,1053,UK,East,Smartwatch,2,1457,0.19,Standard,Electronics,2914,112.92041220888484
10723,2022-01-04,1164,Brazil,East,Headphones,7,1213,0.23,EXPRESS,Accessories,8491,
10148,2022-08-08,1107,USA,Central,Tablet,5,1174,0.05,Standard,Electronics,5870,413.4447196928968
10262,2023-07-20,1124,USA,South,Headphones,2,1599,0.07,EXPRESS,Accessories,3198,1106.032033307034
10123,2024-11-25,1006,USA,Central,Smartwatch,6,1931,0.11,EXPRESS,Electronics,11586,3773.7300545092958
10668,2023-10-28,1171,Brazil,Central,Headphones,7,1638,0.05,Express,Accessories,11466,1173.664031200905
10313,2022-02-16,1032,Japan,North,Mouse,6,1661,0.08,standard,Accessories,9966,2576.6228170712
10908,2024-08-09,1018,Germany,South,Smartwatch,8,1648,0.34,Standard,Electronics,13184,-453.8330529779787
10609,2022-07-03,1036,USA,West,Mobile,6,1009,0.23,Standard,Electronics,6054,531.5370948571363
10153,2022-09-04,1092,Germany,West,Monitor,5,1972,0.18,Same Day,Electronics,9860,2886.967645179653
10835,2024-03-25,1081,Japan,North,Smartwatch,9,413,0.38,standard,Electronics,3717,-678.781565940822
10876,2023-01-21,1116,Canada,West,Smartwatch,7,1988,0.07,Same Day,Electronics,13916,5810.347985919402
10552,2024-02-10,1103,Japan,South,Keyboard,7,1131,0.07,Same Day,Accessories,7917,1034.7873485863252
10994,2023-09-02,1107,France,East,Laptop,2,817,0.18,standard,Electronics,1634,285.4995887390754
10824,2022-05-10,1072,,South,Keyboard,6,565,0.28,standard,Accessories,3390,
10961,2023-12-01,1149,UK,Central,laptop,2,1062,0.29,Same Day,Accessories,2124,-378.84064284780914
10438,2022-04-19,1083,Brazil,West,Smartwatch,4,1859,0.25,Express,Electronics,7436,1230.7821556559966
10198,2023-02-08,1152,France,Central,Tablet,8,685,0.33,standard,Electronics,5480,-1043.1897447452434
10414,2022-03-03,1098,Mexico,South,Printer,7,1700,0.01,Standard,Office,11900,2617.3817433805616
10597,2023-03-23,1172,Japan,West,Headphones,3,1896,0.03,Express,Accessories,5688,2439.1369315779093
10184,2022-05-24,1102,Japan,East,Tablet,9,163,0.33,EXPRESS,Electronics,7335,-196.8506309627959
10851,2022-05-07,1148,India,South,Laptop,1,68,0.28,standard,Electronics,68,-6.836775984950773
10565,2023-05-03,1071,India,Central,Keyboard,9,1502,0.29,Standard,Accessories,13518,-2106.7340928545423
10037,2023-08-24,1025,UK,West,Printer,6,593,0.18,Standard,Office,3558,593.2403283466525
10493,2024-02-03,1116,Japan,North,Monitor,2,1261,0.17,Standard,Electronics,2522,471.6005542826033
10748,2024-04-24,1068,Japan,South,Tablet,4,1410,0.11,Same Day,Electronics,5640,1272.4728682710024
10511,2024-01-02,1101,Germany,North,Keyboard,6,1763,0.25,Express,Accessories,10578,42.72236476438047
10098,2022-04-09,1080,France,North,Mouse,5,1957,0.34,Standard,Accessories,9785,176.1491167042309
10296,2023-07-24,1175,Mexico,South,Printer,9,600,0.28,Standard,Office,5400,-217.70277302930776
10194,2024-10-11,1067,Australia,Central,Monitor,1,1114,0.37,EXPRESS,Electronics,1114,-21.48120367324458
10028,2023-11-18,1063,Brazil,East,Headphones,5,1234,0.16,Same Day,Accessories,6170,-240.1534273168229
10442,2023-09-26,1196,Australia,Central,Headphones,8,129,0.33,Express,Accessories,1032,11.481253328289256
10625,2022-10-08,1093,Germany,East,Camera,7,372,0.27,EXPRESS,Electronics,2604,-376.9065327828017
10164,2024-01-22,1033,Japan,Central,Smartwatch,8,1755,0.07,Express,Electronics,14040,4722.7315355017245
10052,2023-07-20,1149,Canada,South,Monitor,7,1314,0.39,Express,Electronics,9198,-100.35643646653352
10992,2023-03-18,1174,UK,South,Mobile,3,1253,0.1,EXPRESS,Electronics,3759,780.456198084441
10732,2023-12-16,1133,India,East,Tablet,6,1175,0.13,Same Day,Electronics,7050,343.66468919978615
10548,2024-04-02,1105,Canada,West,Mouse,7,1016,0.11,Standard,Accessories,7112,-29.939054284444296
10286,2023-10-16,1123,USA,West,Mouse,9,376,0.27,Express,Accessories,3384,230.51012850803522
10158,2024-02-06,1169,Brazil,East,Mouse,8,662,0.17,EXPRESS,Accessories,5296,532.795047373355
10936,2024-01-29,1038,USA,North,Laptop,2,992,0.15,Express,Electronics,1984,301.70413682524116
10953,2024-04-02,1171,,North,Tablet,7,348,0.14,Express,Electronics,2436,600.9158631190389
10685,2022-05-06,1144,Canada,West,Laptop,3,982,0.2,standard,Electronics,2946,400.03995092027753
10797,2022-07-17,1112,France,South,Mobile,6,687,0.39,EXPRESS,Electronics,4122,-239.62898970553874
10419,2024-11-08,1028,India,West,Keyboard,9,1606,0.08,standard,Accessories,14454,4960.518843403708
10243,2022-06-07,1004,India,West,Camera,9,1297,0.1,Express,Electronics,11673,2403.4445331157012
10778,2023-08-24,1128,Brazil,West,Mouse,6,773,0.25,Same Day,Accessories,4638,642.1368024006579
10837,2022-10-29,1022,Germany,West,Keyboard,9,1401,0.13,standard,Accessories,12609,1167.5437858731784
10222,2024-08-12,1076,Australia,East,Smartwatch,5,1972,0.03,Express,Electronics,9860,2517.935618527121
10240,2023-07-01,1119,Brazil,South,Monitor,6,1248,0.03,EXPRESS,Electronics,7488,2181.437940630379
10578,2023-01-24,1021,India,North,Keyboard,2,1083,0.27,Standard,Accessories,2166,-75.69897942840987
10923,2022-04-24,1157,France,West,Keyboard,1,256,0.13,Express,Accessories,256,40.212033141947785
10241,2024-12-08,1005,Mexico,North,Tablet,3,810,0.27,EXPRESS,Electronics,2430,311.86884371576446
10188,2024-05-30,1176,Germany,Central,Mouse,4,506,0.11,Same Day,Accessories,2024,80.66592097634415
10203,2022-04-14,1142,India,East,Camera,6,557,0.26,EXPRESS,Electronics,3342,640.3797867195833
10108,2024-05-20,1108,USA,North,Mouse,1,1767,0.31,standard,Accessories,1767,-92.60057641242224
10937,2023-03-19,1140,Japan,Central,Printer,1,1540,0.15,EXPRESS,Office,1540,81.7368887512257
10147,2023-10-04,1182,Canada,Central,Mobile,2,1736,0.31,EXPRESS,Electronics,3472,44.80834360127096
10074,2024-11-30,1130,France,West,Headphones,3,1163,0.03,Standard,Accessories,3489,1574.151392242932
10399,2024-01-31,1124,Australia,Central,Mobile,5,924,0.36,Express,Electronics,23100,-31.729468284401946
10495,2023-10-18,1087,Brazil,North,Smartwatch,2,1204,0.18,Express,Electronics,2408,151.4130652838822
10283,2022-11-17,1004,Australia,South,Mouse,5,1198,0.14,Same Day,Accessories,5990,68.6847127526828
10606,2024-03-07,1197,Japan,Central,Mobile,7,682,0.02,EXPRESS,Electronics,4774,757.529586409963
10471,2024-12-17,1130,Mexico,Central,Headphones,9,615,0.06,Standard,Accessories,5535,1465.006881814571
10345,2024-12-06,1180,India,North,Monitor,8,1128,0.12,standard,Electronics,9024,2399.502022009495
10281,2023-11-16,1039,Brazil,North,Smartwatch,5,1817,0.27,Standard,Electronics,9085,1116.0974000414194
10302,2023-03-20,1044,Germany,North,Keyboard,6,1430,0.26,Standard,Accessories,8580,299.4423439072334
10956,2022-11-26,1105,Mexico,East,Laptop,7,962,0.38,EXPRESS,Electronics,6734,-1706.7063817366097
10809,2024-08-08,1047,UK,Central,Monitor,4,225,0.13,Standard,Electronics,900,260.8776644052807
10334,2023-05-03,1187,India,North,Keyboard,2,977,0.37,Same Day,Accessories,1954,-485.6695554649027
10378,2024-12-02,1195,Australia,South,Monitor,9,1051,0.39,Standard,Electronics,9459,
10041,2024-02-16,1039,Brazil,West,Headphones,4,1875,0.11,Standard,Accessories,7500,2123.3703135417773
10919,2024-10-06,1135,Canada,East,Headphones,2,571,0.18,standard,Accessories,1142,-28.630014433607528
10228,2023-07-17,1071,India,West,Camera,8,767,0.26,EXPRESS,Electronics,6136,859.2812144144173
10080,2023-08-16,1011,Brazil,East,Smartwatch,2,1173,,Same Day,Electronics,2346,
10140,2023-10-26,1187,India,North,Tablet,1,1197,0.05,standard,Electronics,1197,286.51634148800895
10947,2023-03-28,1083,USA,North,Keyboard,6,1161,0.23,Standard,Accessories,6966,1402.3672867237153
10139,2023-11-15,1107,Germany,Central,Laptop,2,748,0.19,Standard,Electronics,1496,-114.81234529556673
10766,2023-08-11,1083,Canada,North,MOBILE,3,1507,0.16,Standard,Electronics,4521,478.75423272799355
10746,2022-11-16,1197,France,North,Camera,8,1282,0.26,Same Day,Electronics,10256,1963.9629014834777
10416,2023-12-30,1038,Canada,Central,Smartwatch,3,261,,EXPRESS,Electronics,783,76.52133358930826
10332,2024-03-12,1154,Canada,Central,Monitor,1,1700,0.23,Same Day,Electronics,1700,370.74758330862437
10348,2024-08-15,1158,France,Central,Camera,4,1175,0.04,standard,Electronics,4700,2056.0021147559246
10018,2022-09-10,1011,UK,South,Keyboard,6,245,,EXPRESS,Accessories,1470,41.11810297860677
10689,2022-01-25,1065,Germany,North,Smartwatch,5,677,0.33,standard,Electronics,3385,500.5299477808296
10456,2022-01-29,1017,Brazil,Central,Mobile,5,1937,0.25,EXPRESS,Electronics,9685,715.0064732784776
10521,2024-07-13,1045,Mexico,East,Camera,1,131,0.23,Standard,Electronics,131,21.920927449454076
10630,2023-09-26,1147,Canada,West,Tablet,4,969,0.26,standard,Electronics,3876,739.4599875855604
10179,2024-05-21,1183,India,East,Headphones,6,580,0.05,Standard,Accessories,3480,1107.5847817443537
10095,2023-05-18,1082,Canada,South,Keyboard,1,1758,0.2,Same Day,Accessories,1758,392.7445027966104
10344,2024-12-28,1106,Japan,East,Monitor,3,125,0.27,Express,Electronics,375,-36.836465900077485
10225,2024-01-20,1051,USA,North,Camera,2,1771,0.19,Standard,Electronics,3542,867.7922449558116
